DEPT	CODE_COAL	Lay	AC	GR	CILD	DEN	CLL8	RT	AT10	AT20	AT30	AT60	AT90
2244.5	7	CT	263.130	52.932	192.623	2.364	100.031	5.191	9.997	9.035	7.710	5.706	5.191
2244.6	7	CT	263.484	49.899	191.995	2.364	100.130	5.208	9.987	9.104	7.768	5.731	5.208
2244.7	7	CT	262.531	48.559	192.027	2.367	100.205	5.207	9.979	9.137	7.793	5.734	5.207
2244.8	7	CT	260.778	48.266	192.457	2.372	100.164	5.196	9.984	9.144	7.796	5.726	5.196
2244.9	7	CT	258.519	47.679	193.033	2.378	99.972	5.180	10.003	9.140	7.789	5.713	5.180
2245.0	7	CT	255.848	46.180	193.568	2.387	99.613	5.166	10.039	9.132	7.777	5.701	5.166
2245.1	7	CT	252.770	44.058	193.878	2.398	99.079	5.158	10.093	9.126	7.770	5.694	5.158
2245.2	7	CT	249.096	44.862	193.983	2.411	98.469	5.155	10.156	9.118	7.763	5.692	5.155
2245.3	7	CT	245.023	48.700	194.166	2.425	97.967	5.150	10.208	9.096	7.751	5.687	5.150
2245.4	7	CT	240.915	53.327	194.641	2.436	97.714	5.138	10.234	9.050	7.722	5.674	5.138
2245.5	7	CT	237.187	56.607	195.480	2.444	97.781	5.116	10.227	8.981	7.677	5.648	5.116
2245.6	7	CT	234.287	56.971	196.629	2.448	98.162	5.086	10.187	8.895	7.618	5.613	5.086
2245.7	7	CT	233.122	54.483	198.028	2.447	98.836	5.050	10.118	8.800	7.551	5.571	5.050
2245.8	7	CT	233.807	51.301	199.566	2.443	99.593	5.011	10.041	8.710	7.482	5.525	5.011
2245.9	7	CT	235.859	48.397	201.093	2.436	100.217	4.973	9.979	8.634	7.417	5.481	4.973
2246.0	7	CT	238.700	46.448	202.396	2.429	100.514	4.941	9.949	8.582	7.364	5.443	4.941
2246.1	7	CT	241.733	46.468	203.204	2.423	100.313	4.921	9.969	8.564	7.334	5.419	4.921
2246.2	7	CT	244.055	48.749	202.721	2.418	99.285	4.933	10.072	8.618	7.357	5.431	4.933
2246.3	7	CT	245.227	51.264	201.116	2.415	97.751	4.973	10.232	8.730	7.426	5.474	4.973
2246.4	7	CT	245.366	53.055	198.724	2.413	95.978	5.033	10.421	8.883	7.530	5.539	5.033
2246.5	7	CT	244.704	53.831	195.838	2.411	94.111	5.107	10.627	9.066	7.659	5.621	5.107
2246.6	7	CT	243.480	53.436	192.785	2.408	92.253	5.187	10.840	9.261	7.801	5.712	5.187
2246.7	7	CT	241.966	51.069	190.144	2.405	90.505	5.260	11.051	9.441	7.932	5.794	5.260
2246.8	7	CT	240.569	48.747	188.404	2.401	89.039	5.308	11.233	9.576	8.029	5.850	5.308
2246.9	7	CT	239.562	47.346	188.020	2.396	88.090	5.319	11.352	9.641	8.067	5.865	5.319
