No.	Well	Dep  Dist		Code	AC 	CNL 	DEN 	GR 	PE 	RLLD
1423	57-09	3400.000	0.298	7	183.0440	18.0130	2.5690	70.0450	3.3380	1256.4130
1424	S233	3404.300	0.301	7	187.2370	15.4670	2.5910	93.9470	2.6910	118.5300
1425	60-09	3529.300	0.340	7	187.3290	14.1640	2.6000	91.0140	2.7230	139.5080
1426	44-45	3237.800	0.348	7	175.5720	21.4650	2.5020	92.8210	3.1570	110.5410
1427	61-05	3384.500	0.353	7	176.4440	8.4580	2.5460	106.6070	2.6410	85.2810
1428	68-02	3561.200	0.360	7	181.1270	7.3330	2.6020	112.4660	3.1610	521.9780
1429	48-46	3240.000	0.371	7	192.3840	10.3350	2.5620	118.0590	2.9500	43.8520
1430	57-09	3399.600	0.373	7	172.7770	21.6840	2.5940	79.6620	3.2120	135.8320
1431	49-43	3316.300	0.380	7	180.4470	12.0520	2.5290	69.2440	2.6820	530.6760
1432	61-05	3384.700	0.383	7	190.3320	18.6960	2.5220	117.0020	2.8010	80.2040
1433	68-02	3542.200	0.385	7	175.9580	16.3090	2.5660	124.7640	2.7150	298.5770
1434	S233	3404.700	0.410	7	174.0070	18.8500	2.5900	86.3340	2.7070	302.2460
1435	71-05	3451.200	0.411	7	185.2470	11.9460	2.6220	82.3050	3.0580	141.7660
1436	48-5	3307.200	0.423	7	191.8060	13.9600	2.5980	110.2210	2.8240	253.7860
1437	68-02	3561.100	0.424	7	182.0110	7.3990	2.6040	122.4270	3.1020	403.7870
1438	60-09	3481.300	0.424	7	170.5120	18.0910	2.5670	107.3440	2.8600	39.0010
1439	68-02	3560.900	0.434	7	180.9950	7.3990	2.6050	122.3620	3.0870	395.8340
1440	61-05	3384.800	0.437	7	184.2870	17.4000	2.6190	70.4180	3.0180	130.7670
1441	66-1	3455.800	0.446	7	193.0960	13.7790	2.5950	116.7860	2.9370	83.1490
1442	57-04	3547.700	0.454	7	195.0750	11.5130	2.5960	105.9170	3.0120	168.3720
1443	57-09	3399.900	0.456	7	192.7460	25.2480	2.5160	94.6020	3.2410	432.8600
1444	68-02	3561.000	0.459	7	177.6970	7.3990	2.6070	118.3960	3.0620	409.5950
1445	57-04	3547.800	0.464	7	188.3580	14.7800	2.6180	118.0400	3.1180	185.6170
