No.,Well,Dep,Dist,Code,AC,CNL,DEN,GR,PE,RLLD
224,79-06,3435.3,0.121,1,160.175,4.114,2.712,21.471,4.288,2903.957
225,46-10,3323.8,0.124,1,163.029,2.164,2.727,13.277,4.58,3216.261
226,46-10,3352.3,0.127,1,166.068,3.882,2.725,15.418,4.411,1699.872
227,53-09,3630.8,0.13,1,162.506,3.161,2.745,8.675,4.669,3377.344
228,79-06,3456.7,0.133,1,153.334,0.935,2.739,12.095,4.561,4827.629
229,44-36,3388.6,0.136,1,158.027,1.078,2.718,12.616,4.483,2443.593
230,41-44C3,3337.7,0.139,1,154.327,2.788,2.766,18.066,4.085,5859.836
231,44-7,3409.5,0.142,1,155.86,0.551,2.733,15.854,4.36,9259.901
232,70-3,3481.7,0.145,1,159.236,4.398,2.727,17.723,3.907,874.369
233,68-09,3583.5,0.14800000000000002,1,161.057,1.343,2.746,22.819,4.259,11466.806
234,60-1,3427.6,0.151,1,161.985,3.015,2.718,18.378,3.925,6478.812
235,48-32,3404.3,0.154,1,155.728,1.676,2.742,13.066,4.299,12472.151
236,55-010,3469.9,0.156,1,157.712,0.154,2.756,14.064,4.581,4574.909
237,44-3,3354.6,0.159,1,157.455,1.414,2.772,11.566,4.138,2058.543
238,48-27,3315.9,0.162,1,157.573,1.143,2.722,24.591,4.429,7706.596
239,43-35,3390.8,0.165,1,156.975,2.601,2.732,18.533,4.698,5913.215
240,54-3,3549.2,0.168,1,154.522,1.576,2.749,10.219,4.65,5786.006
241,44-7,3407.7,0.172,1,154.842,1.224,2.73,18.373,4.639,5862.839
242,46-6C1,3398.4,0.175,1,156.839,1.946,2.748,10.647,4.765,2475.285
243,49-35,3294.8,0.177,1,150.172,2.812,2.76,11.597,4.221,7605.268
244,48-5,3371.9,0.18,1,156.116,0.437,2.713,13.39,4.415,1900.009
245,48-46,3236.2,0.182,1,156.897,2.973,2.736,10.626,3.919,618.665
246,46-10,3336.9,0.184,1,159.947,2.075,2.739,10.208,4.697,7480.536
247,44-36,3379.6,0.188,1,157.108,3.767,2.776,15.203,4.294,1719.331
248,43-23,3386.9,0.191,1,155.68,0.981,2.737,13.446,3.596,2822.572
249,49-13,3373.8,0.19399999999999998,1,164.437,4.143,2.728,23.473,3.64,2684.356
250,43-46,3355.2,0.19699999999999998,1,158.029,3.736,2.746,15.206,4.424,532.721
251,64-01,3495.8,0.2,1,153.539,1.484,2.756,17.269,4.526,9028.414
252,43-21,3397.6,0.203,1,154.831,1.134,2.772,10.399,4.276,5958.4
253,45-34,3440.5,0.20600000000000002,1,156.051,4.21,2.768,17.791,4.338,10124.885
254,53-08,3464.3,0.209,1,155.359,2.14,2.776,17.74,4.268,5377.472
255,46-35,3318.2,0.213,1,154.472,5.365,2.767,13.35,3.731,2055.21
256,46-6C1,3404.9,0.21600000000000003,1,155.292,0.824,2.732,11.635,4.616,888.225
257,77-05,3473.7,0.21899999999999997,1,158.726,4.002,2.747,13.864,4.571,14202.585
258,46-30,3383.7,0.222,1,152.174,2.036,2.709,15.32,4.378,5272.96
259,46-6C1,3422.9,0.226,1,154.535,3.184,2.75,17.146,4.58,659.677
260,56-04C1,3633.5,0.22899999999999998,1,151.133,2.174,2.771,13.594,4.499,2449.445
261,46-43,3329.1,0.23199999999999998,1,152.052,4.524,2.753,16.205,4.31,15461.012
262,46-27C2,3475.3,0.235,1,154.797,2.573,2.774,16.534,4.259,990.056
263,46-6C1,3405.3,0.23800000000000002,1,156.746,1.186,2.718,11.886,4.58,951.785
264,53-09,3627.7,0.242,1,155.221,1.87,2.725,11.075,4.252,16846.641
265,77-05,3464.5,0.245,1,153.888,4.798,2.758,13.825,4.498,13512.876
266,70-04,3593.0,0.248,1,169.126,0.835,2.736,21.471,4.668,3424.302
267,Z54,3322.0,0.251,1,152.794,4.999,2.71,23.87,4.587,4463.389
268,62-0,3511.2,0.254,1,154.684,2.761,2.778,13.01,3.845,2789.844
269,79-06,3437.9,0.257,1,168.711,4.786,2.71,21.506,4.411,2238.342
270,53-08,3454.9,0.261,1,155.261,3.314,2.771,18.579,4.45,10495.044
271,Z54,3311.2,0.264,1,150.709,6.701,2.737,17.906,3.559,3882.779
272,51-8,3460.9,0.267,1,163.413,5.538,2.746,15.323,3.549,1109.794
273,57-012,3591.1,0.271,1,157.206,-0.505,2.726,10.114,3.596,5439.743
274,46-43,3333.5,0.275,1,157.829,8.349,2.753,17.354,4.001,503.182
275,Z97,3504.2,0.27899999999999997,1,161.866,4.985,2.769,18.233,4.44,651.048
276,53-08,3445.4,0.28300000000000003,1,159.357,3.246,2.763,21.893,4.186,19500.516
277,48-46,3236.0,0.287,1,158.508,6.619,2.747,15.449,3.565,843.686
278,49-13,3374.2,0.29,1,165.681,2.027,2.718,20.853,3.595,3840.489
279,70-04,3592.1,0.295,1,171.201,0.911,2.764,17.11,4.348,5941.681
280,70-010,3595.6,0.298,1,156.732,1.88,2.758,13.114,4.62,15095.779
281,48-5,3401.0,0.301,1,159.944,5.507,2.701,20.669,4.51,1374.493
282,47-38C4,3456.1,0.305,1,161.146,3.423,2.728,24.091,4.632,500.71
283,44-36,3364.0,0.308,1,161.424,1.852,2.713,12.305,4.675,9166.003
284,77-05,3474.6,0.312,1,159.764,3.469,2.768,16.819,4.134,19356.686
285,70-04,3587.3,0.315,1,158.149,0.371,2.744,10.935,4.756,12785.008
286,66-1,3439.2,0.319,1,161.075,5.417,2.776,17.112,3.954,700.609
287,74-01,3497.8,0.322,1,159.939,1.149,2.748,18.954,4.372,25291.949
288,48-32,3418.1,0.326,1,170.572,3.907,2.773,13.298,4.021,1308.993
289,79-06,3463.3,0.32899999999999996,1,152.951,1.391,2.719,10.01,4.64,12239.669
290,56-04C1,3613.3,0.33299999999999996,1,157.887,2.439,2.778,24.185,4.256,13105.855
291,43-23,3382.7,0.337,1,156.592,1.149,2.696,15.615,4.363,5966.273
292,56-04C3,3602.6,0.34,1,159.893,2.624,2.742,16.148,4.408,29213.063
293,44-36,3357.7,0.344,1,163.32,7.223,2.736,23.623,3.642,590.117
294,46-30,3375.3,0.34700000000000003,1,156.547,0.535,2.697,15.823,4.532,2522.959
295,57-04,3629.3,0.35200000000000004,1,156.044,0.376,2.743,14.152,4.215,28593.133
296,57-04,3623.5,0.355,1,164.128,0.765,2.755,15.178,3.947,22292.494
297,44-20,3392.8,0.358,1,154.832,1.809,2.762,9.99,4.207,24661.016
298,51-10,3499.8,0.361,1,158.956,2.644,2.695,19.29,4.503,6098.249
299,Z18,3306.5,0.365,1,157.449,3.62,2.742,12.238,4.014,251.853
300,Z22,3427.0,0.37,1,157.969,3.404,2.782,8.979,4.212,13507.035
301,53-09,3629.7,0.374,1,158.239,3.212,2.775,8.621,4.797,7043.9
302,47-44,3517.3,0.377,1,154.537,0.47,2.727,7.253,4.479,23324.176
303,54-3,3539.4,0.381,1,155.31,1.191,2.751,12.477,4.154,31573.189
304,56-04C3,3588.9,0.385,1,152.754,9.391,2.74,19.61,3.802,469.01
305,71-2,3569.3,0.389,1,158.778,3.129,2.76,14.469,4.484,27840.932
306,57-09,3487.5,0.39299999999999996,1,155.379,2.41,2.726,14.583,4.621,24248.926
307,60-09,3577.9,0.396,1,159.851,0.846,2.723,15.328,4.584,23305.953
308,56-04C1,3612.3,0.4,1,153.272,8.97,2.749,16.282,3.774,433.231
309,47-44,3513.6,0.405,1,156.67,0.936,2.713,10.024,4.495,20714.707
310,57-04,3631.6,0.409,1,154.128,0.744,2.768,11.96,4.09,23545.441
311,57-02,3577.3,0.413,1,156.96,0.681,2.719,11.367,4.452,26144.311
312,53-08,3451.8,0.418,1,156.017,2.444,2.761,20.128,4.616,24617.871
313,48-30,3385.2,0.42200000000000004,1,153.517,8.557,2.702,19.218,3.863,868.728
314,43-23,3441.5,0.42700000000000005,1,149.658,5.294,2.725,16.144,3.356,2053.454
315,55-010,3458.0,0.43200000000000005,1,155.6,-0.097,2.694,9.238,4.514,6003.863
316,70-3,3506.1,0.436,1,156.427,0.358,2.717,12.947,4.554,23597.32
317,Z28,3334.0,0.441,1,156.509,1.141,2.69,14.586,4.344,7966.757
