AC	CNL	DEN	GR	PE	RLLD	code	ÑµÁ·²âÊÔ·ÖÇø
162.22000	4.40000	2.71000	24.17000	4.85000	3.58143	0	0
155.76000	0.72000	2.69000	9.40000	4.88000	3.28961	0	1
159.19000	2.37000	2.73000	9.80000	4.74000	3.30992	0	2
159.20000	2.05000	2.67000	21.31000	5.40000	3.42019	0	0
161.60000	-1.78000	2.72000	15.69000	4.83000	4.44647	0	1
159.38000	-0.94000	2.73000	15.93000	5.09000	4.62059	0	2
154.04000	1.71000	2.71000	13.76000	4.94000	3.24826	0	0
165.35000	1.13000	2.72000	24.05000	5.05000	3.32612	0	1
155.00000	2.08000	2.71000	13.67000	5.09000	3.24605	0	2
155.71000	0.14000	2.68000	9.00000	5.09000	4.70415	0	0
169.06000	0.44000	2.70000	24.25000	5.17000	4.52869	0	1
157.48000	0.87000	2.71000	15.91000	5.00000	4.78892	0	2
169.20000	-1.36000	2.73000	12.28000	4.78000	4.33020	0	0
157.67000	0.61000	2.72000	17.02000	4.94000	4.78948	0	1
161.59000	1.49000	2.72000	13.58000	4.81000	3.21796	0	2
158.01000	-1.36000	2.72000	12.15000	4.91000	4.62556	0	0
155.30000	0.12000	2.73000	13.43000	5.08000	4.76027	0	1
157.79000	0.65000	2.71000	17.36000	5.15000	4.79049	0	2
163.88000	0.95000	2.70000	14.71000	4.70000	3.25974	0	0
158.62000	1.99000	2.67000	19.96000	5.50000	3.39157	0	1
151.95000	1.45000	2.71000	9.42000	5.05000	3.22359	0	2
165.47000	-1.32000	2.74000	12.79000	5.25000	4.51704	0	0
154.20000	0.75000	2.75000	13.70000	5.81000	4.00047	0	1
158.76000	1.39000	2.70000	7.95000	5.05000	3.16936	0	2
155.18000	0.26000	2.67000	9.87000	5.32000	4.71119	0	0
164.28000	2.79000	2.73000	19.24000	5.13000	3.24082	0	1
158.33000	1.93000	2.68000	19.58000	5.49000	3.32542	0	2
160.66000	2.62000	2.69000	15.27000	4.83000	3.18100	0	0
158.01000	-1.64000	2.70000	13.29000	5.21000	4.63173	0	1
158.32000	1.59000	2.71000	9.75000	5.31000	3.18412	0	2
157.42000	0.24000	2.73000	9.50000	5.24000	3.18332	0	0
160.39000	2.24000	2.69000	21.66000	4.80000	3.15217	0	1
160.62000	-1.59000	2.71000	15.16000	5.33000	4.62816	0	2
151.63000	1.65000	2.71000	10.12000	5.03000	3.13814	0	0
161.66000	4.01000	2.74000	20.47000	4.78000	3.26455	0	1
160.82000	1.21000	2.71000	10.81000	5.12000	3.09029	0	2
159.31000	1.99000	2.72000	16.32000	4.80000	3.08072	0	0
163.15000	3.32000	2.72000	14.95000	4.79000	3.15902	0	1
156.79000	2.10000	2.71000	16.44000	4.93000	3.05438	0	2
160.15000	1.65000	2.70000	9.96000	5.35000	3.12329	0	0
158.56000	0.28000	2.69000	10.65000	5.48000	3.19747	0	1
157.94000	1.68000	2.69000	16.48000	4.81000	3.03660	0	2
157.77000	2.54000	2.75000	17.57000	5.02000	3.05059	0	0
159.50000	0.48000	2.71000	10.51000	5.16000	3.04103	0	1
161.04000	1.60000	2.70000	14.25000	5.07000	3.00677	0	2
157.40000	-0.17000	2.76000	17.91000	4.85000	3.06591	0	0
154.75000	1.64000	2.71000	13.26000	5.84000	3.43170	0	1
158.16000	2.65000	2.71000	20.18000	5.36000	3.06797	0	2
162.75000	1.62000	2.73000	13.79000	5.27000	3.01809	0	0
154.43000	2.22000	2.73000	13.02000	4.76000	2.99458	0	1
159.86000	0.89000	2.72000	12.60000	5.09000	2.95110	0	2
158.64000	2.68000	2.71000	19.91000	5.43000	3.05552	0	0
163.91000	3.49000	2.68000	16.20000	5.04000	3.01870	0	1
164.39000	0.48000	2.69000	14.23000	5.00000	2.94080	0	2
158.53000	5.27000	2.71000	15.78000	4.85000	4.86793	0	0
161.05000	1.70000	2.68000	9.76000	4.97000	2.88704	0	1
158.41000	0.89000	2.71000	17.40000	5.98000	3.40347	0	2
159.97000	2.59000	2.71000	12.75000	5.01000	2.86561	0	0
155.31000	2.71000	2.74000	12.83000	5.15000	2.87814	0	1
157.93000	2.54000	2.72000	14.99000	4.76000	2.83700	0	2
160.23000	2.41000	2.69000	18.58000	4.98000	2.80778	0	0
161.52000	6.31000	2.71000	17.93000	4.72000	3.19663	0	1
183.45000	4.69000	2.70000	20.72000	4.99000	4.11325	0	2
157.29000	3.39000	2.70000	14.30000	4.82000	2.76024	0	0
157.84000	1.25000	2.73000	11.74000	4.85000	2.67101	0	1
160.53000	2.44000	2.69000	19.14000	5.07000	2.64732	0	2
161.34000	3.78000	2.72000	23.14000	4.84000	2.68665	0	0
159.87000	8.16000	2.71000	18.94000	4.75000	3.17742	0	1
174.38000	5.26000	2.72000	24.29000	4.74000	2.83316	0	2
162.24000	3.86000	2.76000	16.85000	5.10000	2.47277	0	0
160.59000	3.95000	2.70000	12.84000	4.71000	2.38941	0	1
164.19000	3.79000	2.66000	24.99000	4.88000	2.29243	0	2
186.32000	3.17000	2.65000	21.12000	4.82000	2.49532	0	0
164.62000	8.16000	2.75000	24.09000	4.85000	2.33488	0	1
168.30000	8.82000	2.75000	2.24000	4.86000	2.36981	0	2
200.62000	5.32000	2.58000	22.07000	4.81000	2.75437	0	0
157.81000	3.82000	2.74000	20.29000	4.19000	3.57005	1	1
157.15000	3.10000	2.75000	15.10000	4.17000	3.46830	1	2
158.08000	4.24000	2.76000	17.05000	4.15000	3.43483	1	0
161.48000	2.04000	2.74000	19.37000	4.07000	3.34529	1	1
